area;stock;year;advice;ICES_cat;species
Celtic Seas;raj.27.67a-ce-h;2015;789;6;Rays and skates (Rajidae)
Celtic Seas;raj.27.67a-ce-h;2016;789;6;Rays and skates (Rajidae)
Celtic Seas;raj.27.67a-ce-h;2017;NA;6;Rays and skates (Rajidae)
Celtic Seas;raj.27.67a-ce-h;2018;NA;6;Rays and skates (Rajidae)
Celtic Seas;raj.27.67a-ce-h;2019;NA;6;Rays and skates (Rajidae)
Celtic Seas;raj.27.67a-ce-h;2020;NA;6;Rays and skates (Rajidae)
Celtic Seas;raj.27.67a-ce-h;2021;NA;6;Rays and skates (Rajidae)
Celtic Seas;raj.27.67a-ce-h;2022;NA;6;Rays and skates (Rajidae)
Celtic Seas;rjb.27.67a-ce-k;2015;0;6;Common skate complex
Celtic Seas;rjb.27.67a-ce-k;2016;0;6;Common skate complex
Celtic Seas;rjb.27.67a-ce-k;2017;0;6;Common skate complex
Celtic Seas;rjb.27.67a-ce-k;2018;0;6;Common skate complex
Celtic Seas;rjb.27.67a-ce-k;2019;0;6;Common skate complex
Celtic Seas;rjb.27.67a-ce-k;2020;0;6;Common skate complex
Celtic Seas;rjb.27.67a-ce-k;2021;0;6;Common skate complex
Celtic Seas;rjb.27.67a-ce-k;2022;0;6;Common skate complex
Celtic Seas;rjc.27.6;2015;205;3;Thornback ray
Celtic Seas;rjc.27.6;2016;205;3;Thornback ray
Celtic Seas;rjc.27.6;2017;145;3;Thornback ray
Celtic Seas;rjc.27.6;2018;145;3;Thornback ray
Celtic Seas;rjc.27.6;2019;174;3;Thornback ray
Celtic Seas;rjc.27.6;2020;174;3;Thornback ray
Celtic Seas;rjc.27.6;2021;137;3;Thornback ray
Celtic Seas;rjc.27.6;2022;137;3;Thornback ray
Celtic Seas;rjc.27.7afg;2015;1235;3;Thornback ray
Celtic Seas;rjc.27.7afg;2016;1235;3;Thornback ray
Celtic Seas;rjc.27.7afg;2017;1386;3;Thornback ray
Celtic Seas;rjc.27.7afg;2018;1386;3;Thornback ray
Celtic Seas;rjc.27.7afg;2019;1663;3;Thornback ray
Celtic Seas;rjc.27.7afg;2020;1663;3;Thornback ray
Celtic Seas;rjc.27.7afg;2021;1596;3;Thornback ray
Celtic Seas;rjc.27.7afg;2022;1596;3;Thornback ray
Celtic Seas;rjc.27.7e;2015;260;5;Thornback ray
Celtic Seas;rjc.27.7e;2016;260;5;Thornback ray
Celtic Seas;rjc.27.7e;2017;212;5;Thornback ray
Celtic Seas;rjc.27.7e;2018;212;5;Thornback ray
