year;fishing_area;species_code;species;common_name;ICES_stock_code;landings
2009;27.4.a;RJH;Raja brachyura;Blonde ray;rjh.27.4a6;0.009
2009;27.4.a;SKA;Rajiformes;Skates;raj.27.3a47d;0.875
2009;27.4.a;SKA;Rajiformes;Skates;raj.27.3a47d;0.003
2009;27.4.b;RJC;Raja clavata;Thornback ray;rjc.27.3a47d;0.864
2009;27.4.b;RJC;Raja clavata;Thornback ray;rjc.27.3a47d;0.804
2009;27.4.b;RJH;Raja brachyura;Blonde ray;rjh.27.4bc7d;0.268
2009;27.4.b;RJH;Raja brachyura;Blonde ray;rjh.27.4bc7d;0.825
2009;27.4.b;RJM;Raja montagui;Spotted ray;rjm.27.3a47d;0.859
2009;27.4.b;RJM;Raja montagui;Spotted ray;rjm.27.3a47d;3.435
2009;27.4.b;RJM;Raja montagui;Spotted ray;rjm.27.3a47d;0.028
2009;27.4.b;RJN;Leucoraja naevus;Cuckoo ray;rjn.27.3a4;0.004
2009;27.4.b;RJN;Leucoraja naevus;Cuckoo ray;rjn.27.3a4;0.985
2009;27.4.b;SKA;Rajiformes;Skates;raj.27.3a47d;1.389
2009;27.4.b;SKA;Rajiformes;Skates;raj.27.3a47d;9.495
2009;27.4.c;RJC;Raja clavata;Thornback ray;rjc.27.3a47d;33.305
2009;27.4.c;RJC;Raja clavata;Thornback ray;rjc.27.3a47d;63.701
2009;27.4.c;RJC;Raja clavata;Thornback ray;rjc.27.3a47d;0.101
2009;27.4.c;RJC;Raja clavata;Thornback ray;rjc.27.3a47d;0.06
2009;27.4.c;RJH;Raja brachyura;Blonde ray;rjh.27.4bc7d;1.295
2009;27.4.c;RJH;Raja brachyura;Blonde ray;rjh.27.4bc7d;80.977
2009;27.4.c;RJH;Raja brachyura;Blonde ray;rjh.27.4bc7d;0.014
2009;27.4.c;RJH;Raja brachyura;Blonde ray;rjh.27.4bc7d;0.005
2009;27.4.c;RJM;Raja montagui;Spotted ray;rjm.27.3a47d;1.84
2009;27.4.c;RJM;Raja montagui;Spotted ray;rjm.27.3a47d;24.518
2009;27.4.c;RJM;Raja montagui;Spotted ray;rjm.27.3a47d;0.003
2009;27.4.c;RJN;Leucoraja naevus;Cuckoo ray;rjn.27.3a4;0.054
2009;27.4.c;RJN;Rajiformes;Skates;raj.27.3a47d;1.292
2009;27.4.c;SKA;Rajiformes;Skates;raj.27.3a47d;13.19
2009;27.4.c;SKA;Rajiformes;Skates;raj.27.3a47d;61.515
2009;27.4.c;SKA;Rajiformes;Skates;raj.27.3a47d;0.08
2009;27.4.c;SKA;Rajiformes;Skates;raj.27.3a47d;0.2
2009;27.7.a;RJC;Raja clavata;Thornback ray;rjc.27.7afg;11.164
2009;27.7.a;RJC;Raja clavata;Thornback ray;rjc.27.7afg;61.101
2009;27.7.a;RJH;Raja brachyura;Blonde ray;rjh.27.7afg;0.621
2009;27.7.a;RJH;Raja brachyura;Blonde ray;rjh.27.7afg;69.137
2009;27.7.a;RJM;Raja montagui;Spotted ray;rjm.27.7ae-h;1.433
2009;27.7.a;RJM;Raja montagui;Spotted ray;rjm.27.7ae-h;12.349
2009;27.7.a;RJN;Leucoraja naevus;Cuckoo ray;rjn.27.678abd;1.201
2009;27.7.a;RJN;Leucoraja naevus;Cuckoo ray;rjn.27.678abd;22.06
2009;27.7.a;SKA;Rajiformes;Skates;raj.27.67a-ce-k;3.511
2009;27.7.a;SKA;Rajiformes;Skates;raj.27.67a-ce-k;68.781
2009;27.7.d;RJC;Raja clavata;Thornback ray;rjc.27.3a47d;25.181
2009;27.7.d;RJC;Raja clavata;Thornback ray;rjc.27.3a47d;28.734
2009;27.7.d;RJC;Raja clavata;Thornback ray;rjc.27.3a47d;0.972
2009;27.7.d;RJC;Raja clavata;Thornback ray;rjc.27.3a47d;0.004
2009;27.7.d;RJH;Raja brachyura;Blonde ray;rjh.27.4bc7d;0.426
2009;27.7.d;RJH;Raja brachyura;Blonde ray;rjh.27.4bc7d;21.068
2009;27.7.d;RJH;Raja brachyura;Blonde ray;rjh.27.4bc7d;0.048
2009;27.7.d;RJM;Raja montagui;Spotted ray;rjm.27.3a47d;0.082
2009;27.7.d;RJM;Raja montagui;Spotted ray;rjm.27.3a47d;3.61
2009;27.7.d;RJM;Raja montagui;Spotted ray;rjm.27.3a47d;0.009
2009;27.7.d;RJN;Leucoraja naevus;Cuckoo ray;rjn.27.678abd;1.415
2009;27.7.d;SKA;Rajiformes;Skates;raj.27.3a47d;0.261
2009;27.7.d;SKA;Rajiformes;Skates;raj.27.3a47d;0.01
2009;27.7.d;SKA;Rajiformes;Skates;raj.27.3a47d;38.565
2009;27.7.d;SKA;Rajiformes;Skates;raj.27.3a47d;0.012
