;year;species;landed_mean;value_mean;price_kg_mean;price_sd;common_name
1;2013;RJC;145233.9545;337487.4754;2.306691824;0.449375101;Thornback ray
2;2014;RJC;171093.5542;349356.0675;2.071152979;0.458960129;Thornback ray
3;2015;RJC;161562.9917;340571.9887;2.07692571;0.634321592;Thornback ray
4;2016;RJC;138700.5107;299328.2284;2.018035786;0.764514603;Thornback ray
5;2017;RJC;122168.25;263295.0992;1.824367128;0.908736638;Thornback ray
6;2018;RJC;158918.38;319456.0289;1.78055181;0.858965156;Thornback ray
7;2019;RJC;202947.112;390625.5159;1.942154957;0.62644415;Thornback ray
8;2020;RJC;195038.08;370242.7548;1.93647466;0.584081313;Thornback ray
9;2021;RJC;161558.6957;378745.0396;2.200766678;0.500914892;Thornback ray
10;2013;RJE;15152.25;40287.4775;2.680259202;0.199742688;Small-eyed ray
11;2014;RJE;28928.125;54693.65588;2.028814014;0.439574776;Small-eyed ray
12;2015;RJE;26071.875;54155.84163;2.171731356;0.335496748;Small-eyed ray
13;2016;RJE;15889.8625;29286.2988;2.067433141;0.548655052;Small-eyed ray
14;2017;RJE;15180.49167;32940.17117;2.087245282;0.343632597;Small-eyed ray
15;2018;RJE;18673.65;37583.11453;2.082069245;0.489112733;Small-eyed ray
16;2019;RJE;27309.16667;51402.02033;1.912997189;0.447145687;Small-eyed ray
17;2020;RJE;23763.07692;43077.97477;1.854366106;0.522803042;Small-eyed ray
18;2021;RJE;21143;46138.50333;2.203512325;0.184035148;Small-eyed ray
19;2013;RJF;21163.5;45571.77125;2.091271373;0.129674578;Shagreen ray
20;2014;RJF;18973.45;34890.95051;1.803191265;0.360459279;Shagreen ray
21;2015;RJF;21809.68;44922.64592;2.057059928;0.274938658;Shagreen ray
22;2016;RJF;25296.4;50118.10578;1.83364515;0.296052189;Shagreen ray
23;2017;RJF;19337.68889;39742.60593;1.89589147;0.335837994;Shagreen ray
24;2018;RJF;14654.45833;31321.66154;1.699165948;0.469143335;Shagreen ray
25;2019;RJF;14602.15833;28434.61072;1.622625064;0.386561886;Shagreen ray
26;2020;RJF;14696.91667;26447.70325;1.72090936;0.374633092;Shagreen ray
27;2021;RJF;21676.25;44047.83;2.480007484;0.540911994;Shagreen ray
28;2013;RJH;67541.875;181743.2626;2.758048422;0.34946535;Blonde ray
29;2014;RJH;75961.36957;190064.2293;2.528251135;0.541896706;Blonde ray
30;2015;RJH;84262.08261;224822.4148;2.737633587;0.275837445;Blonde ray
31;2016;RJH;70642.87308;179701.4567;2.568967309;0.491001932;Blonde ray
32;2017;RJH;88731.88636;222969.0676;2.588863107;0.357682903;Blonde ray
33;2018;RJH;90878.8625;215139.043;2.383236019;0.49995655;Blonde ray
34;2019;RJH;115359.1042;246786.0235;2.400646035;0.499153158;Blonde ray
35;2020;RJH;112180.1654;227926.405;2.223157669;0.653592329;Blonde ray
36;2021;RJH;86898.95652;228852.2073;2.631387199;0.69173356;Blonde ray
37;2013;RJI;12355.30769;25686.25769;1.842169244;0.739597392;Sandy ray
38;2014;RJI;10829.3;20035.91148;1.658972798;0.576731422;Sandy ray
39;2015;RJI;9975.5;20108.34502;1.815585853;0.588111644;Sandy ray
40;2016;RJI;12085.33125;25196.61322;1.911144385;0.483995275;Sandy ray
41;2017;RJI;12272.6625;26661.66286;1.969134807;0.571036342;Sandy ray
42;2018;RJI;12149.45882;25730.71168;1.926459028;0.724406014;Sandy ray
43;2019;RJI;14395.2;24915.65655;1.798514464;0.775426289;Sandy ray
44;2020;RJI;9474.564706;15746.66627;1.490248199;0.512768432;Sandy ray
45;2021;RJI;5575;11120.638;1.951866147;0.681483845;Sandy ray
46;2013;RJM;66404.66667;184192.6419;2.484559603;0.335183324;Spotted ray
47;2014;RJM;64774.29545;143778.3156;2.178810873;0.525526115;Spotted ray
48;2015;RJM;63171.53333;151066.1622;2.335530037;0.585111099;Spotted ray
49;2016;RJM;65435.46952;159354.7088;2.400807114;0.56805955;Spotted ray
50;2017;RJM;60002.38261;144324.3347;2.303971809;0.480798171;Spotted ray
51;2018;RJM;68950.7125;145003.6401;2.087099632;0.579781992;Spotted ray
52;2019;RJM;68827.67083;142400.5479;2.017830192;0.569218484;Spotted ray
53;2020;RJM;48037.96538;99806.73891;1.874331157;0.663203495;Spotted ray
54;2021;RJM;46975.27273;116992.2175;2.254894495;0.610505265;Spotted ray
55;2013;RJN;153783.5;289059.2013;1.456595682;0.427865238;Cuckoo ray
56;2014;RJN;146097.0429;228883.1168;1.25487875;0.416856366;Cuckoo ray
57;2015;RJN;163368.42;282711.3753;1.498852916;0.445677237;Cuckoo ray
58;2016;RJN;139191.5095;251457.2556;1.574718643;0.437761434;Cuckoo ray
59;2017;RJN;121946.2652;232437.0651;1.620154091;0.463844993;Cuckoo ray
60;2018;RJN;121057.336;212398.904;1.475128536;0.467178883;Cuckoo ray
61;2019;RJN;125159;205459.8834;1.253677879;0.388587601;Cuckoo ray
62;2020;RJN;104781.2708;169315.2749;1.201857723;0.378598392;Cuckoo ray
63;2021;RJN;150115.8667;291881.3414;1.436590745;0.589681859;Cuckoo ray
64;2013;RJU;791.75;1434.735;1.838539533;0.081266037;Undulate ray
65;2014;RJU;4460.25;8687.395;1.925601801;0.101066929;Undulate ray
66;2015;RJU;6883.9;18225.1141;2.991350219;0.942941583;Undulate ray
67;2016;RJU;6204.345;15174.96668;2.666266335;1.020630862;Undulate ray
68;2017;RJU;12606.51875;30871.43897;2.387928438;0.764937172;Undulate ray
69;2018;RJU;11353.74737;27566.21607;2.455652577;0.827990433;Undulate ray
70;2019;RJU;22118.34286;44156.26882;2.346829586;1.059522349;Undulate ray
71;2020;RJU;23210.54615;49851.93539;2.146640758;0.87611727;Undulate ray
72;2021;RJU;21430.6;53269.125;2.74901723;0.47558644;Undulate ray
